id	idx	taskidx	option	temporal	status
313	8	17	MIDSAT	HIGH	0
314	33	17	MIDSAT	LOW	0
315	8	18	UNSAT	HIGH	0
316	33	18	UNSAT	LOW	0
317	8	19	HIDDEN	HIGH	0
318	33	19	HIDDEN	LOW	0
319	8	20	MIDSAT	HIGH	0
320	33	20	MIDSAT	LOW	0
321	9	1	MIDSAT	HIGH	0
322	34	1	MIDSAT	LOW	0
323	9	2	HIDDEN	HIGH	0
324	34	2	HIDDEN	LOW	0
325	9	3	HIDDEN	HIGH	0
326	34	3	HIDDEN	LOW	0
327	9	4	UNSAT	HIGH	0
328	34	4	UNSAT	LOW	0
329	9	5	MIDSAT	HIGH	0
330	34	5	MIDSAT	LOW	0
331	9	6	HIDDEN	HIGH	0
332	34	6	HIDDEN	LOW	0
333	9	7	UNSAT	HIGH	0
334	34	7	UNSAT	LOW	0
335	9	8	HIDDEN	HIGH	0
336	34	8	HIDDEN	LOW	0
337	9	9	SAT	HIGH	0
338	34	9	SAT	LOW	0
339	9	10	UNSAT	HIGH	0
340	34	10	UNSAT	LOW	0
341	9	11	MIDSAT	HIGH	0
342	34	11	MIDSAT	LOW	0
343	9	12	MIDSAT	HIGH	0
344	34	12	MIDSAT	LOW	0
345	9	13	SAT	HIGH	0
346	34	13	SAT	LOW	0
347	9	14	HIDDEN	HIGH	0
348	34	14	HIDDEN	LOW	0
349	9	15	SAT	HIGH	0
350	34	15	SAT	LOW	0
351	9	16	SAT	HIGH	0
352	34	16	SAT	LOW	0
353	9	17	HIDDEN	HIGH	0
354	34	17	HIDDEN	LOW	0
355	9	18	HIDDEN	HIGH	0
356	34	18	HIDDEN	LOW	0
357	9	19	UNSAT	HIGH	0
358	34	19	UNSAT	LOW	0
359	9	20	HIDDEN	HIGH	0
360	34	20	HIDDEN	LOW	0
361	10	1	HIDDEN	HIGH	0
362	35	1	HIDDEN	LOW	0
363	10	2	HIDDEN	HIGH	0
364	35	2	HIDDEN	LOW	0
365	10	3	UNSAT	HIGH	0
366	35	3	UNSAT	LOW	0
367	10	4	HIDDEN	HIGH	0
368	35	4	HIDDEN	LOW	0
369	10	5	UNSAT	HIGH	0
370	35	5	UNSAT	LOW	0
371	10	6	MIDSAT	HIGH	0
372	35	6	MIDSAT	LOW	0
373	10	7	HIDDEN	HIGH	0
374	35	7	HIDDEN	LOW	0
375	10	8	UNSAT	HIGH	0
376	35	8	UNSAT	LOW	0
377	10	9	MIDSAT	HIGH	0
378	35	9	MIDSAT	LOW	0
379	10	10	HIDDEN	HIGH	0
380	35	10	HIDDEN	LOW	0
381	10	11	SAT	HIGH	0
382	35	11	SAT	LOW	0
383	10	12	SAT	HIGH	0
384	35	12	SAT	LOW	0
385	10	13	HIDDEN	HIGH	0
386	35	13	HIDDEN	LOW	0
387	10	14	MIDSAT	HIGH	0
388	35	14	MIDSAT	LOW	0
389	10	15	HIDDEN	HIGH	0
390	35	15	HIDDEN	LOW	0
391	10	16	UNSAT	HIGH	0
392	35	16	UNSAT	LOW	0
393	10	17	HIDDEN	HIGH	0
394	35	17	HIDDEN	LOW	0
395	10	18	SAT	HIGH	0
396	35	18	SAT	LOW	0
397	10	19	MIDSAT	HIGH	0
398	35	19	MIDSAT	LOW	0
399	10	20	SAT	HIGH	0
400	35	20	SAT	LOW	0
401	11	1	HIDDEN	HIGH	0
402	36	1	HIDDEN	LOW	0
403	11	2	HIDDEN	HIGH	0
404	36	2	HIDDEN	LOW	0
405	11	3	HIDDEN	HIGH	0
406	36	3	HIDDEN	LOW	0
407	11	4	SAT	HIGH	0
408	36	4	SAT	LOW	0
409	11	5	MIDSAT	HIGH	0
410	36	5	MIDSAT	LOW	0
411	11	6	UNSAT	HIGH	0
412	36	6	UNSAT	LOW	0
413	11	7	MIDSAT	HIGH	0
414	36	7	MIDSAT	LOW	0
415	11	8	UNSAT	HIGH	0
416	36	8	UNSAT	LOW	0
417	11	9	UNSAT	HIGH	0
